"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
143120761,Photo,"Alectoris chukar",Chukar,,"Chris Boccia",2/25/2019,2019,2,25,847,"United States",US-HI-001,Hawaii,Hawaii,"Saddle Road Chukar viewing",19.6965,-155.484,,Unknown,,Unspecified,,,,,,,,S53237701,,,,,,,,,"Alectoris chukar",chukar,Species,1202.0,,,3.0,1,committed,,"https://ebird.org/profile/NTE5NTYw",3456,4608,"https://macaulaylibrary.org/asset/143120761","https://ebird.org/view/checklist/S53237701","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142999291,Photo,"Alectoris chukar",Chukar,,"Julien Piolain",8/29/2018,2018,8,29,815,Greece,GR-I,Attiki,,"Mt Hymettus--Ridge",37.9583,23.8204,,Unknown,,Unspecified,,,,,,,,S48170208,,,,,"2 groups : 4 inds and &gt;6 inds. Nice views !",,,,"Alectoris chukar",chukar,Species,1202.0,,,3.0,1,committed,,"https://ebird.org/profile/NzkwNTkw",2521,4039,"https://macaulaylibrary.org/asset/142999291","https://ebird.org/view/checklist/S48170208","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142806021,Photo,"Alectoris chukar",Chukar,,"Brenda Wright",3/13/2011,2011,3,13,0,"United States",US-HI-009,Hawaii,Maui,"Haleakala NP--Hosmer Grove",20.7684,-156.2366,,Unknown,,Unspecified,,,,,,,,S50492672,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,4.0,1,committed,,"https://ebird.org/profile/ODI1ODgw",1796,2832,"https://macaulaylibrary.org/asset/142806021","https://ebird.org/view/checklist/S50492672","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142645841,Photo,"Alectoris chukar",Chukar,,"Adam Wood",5/22/2011,2011,5,22,700,"United States",US-UT-011,Utah,Davis,"Antelope Island SP",41.0465,-112.2384,,Adult,,Unspecified,,,,,,,,S8289579,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,3.5,2,committed,,"https://ebird.org/profile/NTI1MzU",2211,3168,"https://macaulaylibrary.org/asset/142645841","https://ebird.org/view/checklist/S8289579","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142645821,Photo,"Alectoris chukar",Chukar,,"Adam Wood",5/22/2011,2011,5,22,700,"United States",US-UT-011,Utah,Davis,"Antelope Island SP",41.0465,-112.2384,,Adult,,Unspecified,,,,,,,,S8289579,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,4.0,2,committed,,"https://ebird.org/profile/NTI1MzU",2175,2608,"https://macaulaylibrary.org/asset/142645821","https://ebird.org/view/checklist/S8289579","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142644821,Photo,"Alectoris chukar",Chukar,,"Adam Wood",5/22/2011,2011,5,22,700,"United States",US-UT-011,Utah,Davis,"Antelope Island SP",41.0465,-112.2384,,Adult,,Unspecified,,,,,,,,S8289579,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,3.5,2,committed,,"https://ebird.org/profile/NTI1MzU",2422,3233,"https://macaulaylibrary.org/asset/142644821","https://ebird.org/view/checklist/S8289579","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142597351,Photo,"Alectoris chukar",Chukar,,"yuda siliki",2/23/2019,2019,2,23,1330,Israel,IL-D,HaDarom,,"יד נתן",31.6565,34.7046,,Unknown,,Unspecified,,,,,,,,S53132134,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,4.0,1,committed,,"https://ebird.org/profile/MTI1MTI3Mw",1975,2965,"https://macaulaylibrary.org/asset/142597351","https://ebird.org/view/checklist/S53132134","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142597341,Photo,"Alectoris chukar",Chukar,,"yuda siliki",2/23/2019,2019,2,23,1330,Israel,IL-D,HaDarom,,"יד נתן",31.6565,34.7046,,Unknown,,Unspecified,,,,,,,,S53132134,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,"https://ebird.org/profile/MTI1MTI3Mw",1654,2627,"https://macaulaylibrary.org/asset/142597341","https://ebird.org/view/checklist/S53132134","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142357511,Photo,"Alectoris chukar",Chukar,,"Veikko Salo",4/5/1989,1989,4,5,800,Israel,IL-Z,HaZafon,,"Tirat Zvi fish ponds בריכות טירת צבי",32.4214,35.541,,Adult,,Unspecified,,,,,,,,S53080775,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,2.0,1,committed,,,3201,2757,"https://macaulaylibrary.org/asset/142357511","https://ebird.org/view/checklist/S53080775","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
142321691,Photo,"Alectoris chukar",Chukar,,"Blair Bernson",2/23/2019,2019,2,23,1525,"United States",US-WA-047,Washington,Okanogan,"Fancher Road, Tonasket, Washington, US (48.736, -119.37)",48.7357,-119.3704,,Unknown,,Unspecified,,,,,,,,S53068962,,,,,"Stopped counting at 110.  Could easily have been 40 more.  Known spot for large numbers.",,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,"https://ebird.org/profile/MjkyMDk2",3648,5472,"https://macaulaylibrary.org/asset/142321691","https://ebird.org/view/checklist/S53068962","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
